"","FT","Census","Segment","Start","End","Segment_Tags","Distance","Date","Observer","Hour","Humidity_Census","Rain_History","Rain_Type","H.picta","H.zeylanica","Humidity_Segment","Weather","Comments","Long_Rain","Observer.S","year","dates","MinAlt","MaxAlt","MedAlt","partition"
"3136","2.FS","3B","3B-02","RB 07","RB 10",3,150,"2014-11-30","LD","05:30 AM","wet","4.last_night","3.medium","1","0","3.wet","1.clear","","1-3 jam","LD","2014",NA,5,10,7.5,"FS.I"
"3137","2.FS","4B","4B-01","RS 44","RS 42",2,100,"2013-02-18","MI","05:30 AM","wet","4.last_night","3.medium","1","0","3.wet","5.cloudy","","1-3 jam","MI","2013",NA,5,10,7.5,"FS.I"
"3138","2.FS","3A","3A-05","GB 13","GB 02",11,550,"2013-04-06","AB","05:30 AM","moist","3.yesterday","2.drizzle","4","0","2.moist","1.clear","","< 1jam","AB","2013",NA,5,10,7.5,"FS.I"
"3139","2.FS","4B","4B-02","RS 42","RS 32",10,500,"2013-02-18","MI","05:30 AM","wet","4.last_night","3.medium","4","0","3.wet","5.cloudy","","1-3 jam","MI","2013",NA,5,10,7.5,"FS.I"
"3140","2.FS","3A","3A-08","ST 10","ST 00",10,500,"2018-03-31","DK","05:30 AM","moist","4.last_night","2.drizzle","0","0","2.moist","1.clear","","<1 jam","DK","2018",NA,5,10,7.5,"FS.I"
"3141","2.FS","4A","4A-06","RS 22","RS 32",10,500,"2019-06-20","SY","05:30 AM","wet","4.last_night","2.drizzle","4","1","3.wet","1.clear","","1-3 jam","SY","2019",NA,5,10,7.5,"FS.I"
"3142","2.FS","3A","3A-04","DS 08","GB 13",10,500,"2013-11-05","SY","05:30 AM","wet","4.last_night","3.medium","5","1","3.wet","1.clear","","<1 jam","SY","2013",NA,5,10,7.5,"FS.I"
"3143","2.FS","3A","3A-09","RB 10","RB 07",3,150,"2013-04-06","AB","05:30 AM","moist","3.yesterday","2.drizzle","3","0","2.moist","5.cloudy","","< 1jam","AB","2013",NA,5,10,7.5,"FS.I"
"3144","2.FS","3A","3A-05","GB 13","GB 02",11,550,"2016-04-04","LD","05:30 AM","wet","3.yesterday","3.medium","2","0","3.wet","1.clear","","","LD","2016",NA,5,10,7.5,"FS.I"
"3145","2.FS","4B","4B-03","RS 32","RS 22",10,500,"2016-02-21","LD","05:35 AM","wet","5.raining","2.drizzle","1","0","3.wet","5.cloudy","","","LD","2016",NA,5,10,7.5,"FS.I"
"3146","2.FS","3A","3A-04","DS 08","GB 13",10,500,"2018-07-29","SY","05:30 AM","wet","3.yesterday","2.drizzle","0","0","3.wet","1.clear","","<1 jam","SY","2018",NA,5,10,7.5,"FS.I"
"3147","2.FS","3A","3A-04","DS 08","GB 13",10,500,"2015-06-04","LD","05:30 AM","wet","3.yesterday","2.drizzle","3","0","3.wet","1.clear","","","LD","2015",NA,5,10,7.5,"FS.I"
"3148","2.FS","3A","3A-04","DS 08","GB 13",10,500,"2020-06-27","LD","05:30 AM","moist","1.over_48_hours","1.no_rain","0","0","2.moist","5.cloudy","","","LD","2020",NA,5,10,7.5,"FS.I"
"3149","2.FS","4A","4A-06","RS 22","RS 32",10,500,"2019-08-21","SY","05:30 AM","dry","2.day_before_yesterday","2.drizzle","0","0","1.dry","1.clear","","<1 jam","SY","2019",NA,5,10,7.5,"FS.I"
"3150","2.FS","4A","4A-07","RS 32","RS 42",10,500,"2017-10-10","SY","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","","1-3 jam","SY","2017",NA,5,10,7.5,"FS.I"
"3151","2.FS","11A","11A-07","PR 02","RB 02",4,200,"2018-10-15","DK","05:30 AM","moist","5.raining","2.drizzle","0","0","2.moist","1.clear","","<1 jam","DK","2018",NA,5,10,7.5,"FS.I"
"3152","2.FS","11A","11A-07","PR 02","RB 02",4,200,"2014-10-16","MI","05:30 AM","dry","2.day_before_yesterday","3.medium","0","0","1.dry","5.cloudy","","1-3 jam","MI","2014",NA,5,10,7.5,"FS.I"
"3153","2.FS","3A","3A-05","GB 13","GB 02",11,550,"2018-05-30","JK","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","1.clear","",">1 jam","JK","2018",NA,5,10,7.5,"FS.I"
"3154","2.FS","3B","3B-06","GB 02","GB 13",11,550,"2013-11-28","SY","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","1.clear","","<1 jam","SY","2013",NA,5,10,7.5,"FS.I"
"3155","2.FS","3A","3A-08","ST 10","ST 00",10,500,"2015-01-05","MI","05:30 AM","wet","3.yesterday","2.drizzle","0","0","3.wet","5.cloudy","","<1 jam","MI","2015",NA,5,10,7.5,"FS.I"
"3156","2.FS","3B","3B-07","GB 13","DS 08",10,500,"2013-11-28","SY","05:30 AM","wet","4.last_night","2.drizzle","1","0","3.wet","1.clear","","<1 jam","SY","2013",NA,5,10,7.5,"FS.I"
"3157","2.FS","4B","4B-04","RS 22","SZ 15",10,500,"2014-11-23","MI","05:30 AM","wet","3.yesterday","3.medium","2","0","3.wet","6.drizzle","","<1 jam","MI","2014",NA,5,10,7.5,"FS.I"
"3158","2.FS","4B","4B-05","SZ 15","TR 06",10,500,"2014-11-23","MI","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","5.cloudy","","<1 jam","MI","2014",NA,5,10,7.5,"FS.I"
"3159","2.FS","4A","4A-05","SZ 15","RS 22",10,500,"2017-09-16","LD","05:30 AM","moist","3.yesterday","3.medium","6","0","2.moist","1.clear","","<1 jam","LD","2017",NA,5,10,7.5,"FS.I"
"3160","2.FS","4A","4A-06","RS 22","RS 32",10,500,"2013-04-10","AB","05:30 AM","moist","2.day_before_yesterday","3.medium","0","0","3.wet","1.clear","","1-3 jam","AB","2013",NA,5,10,7.5,"FS.I"
"3161","2.FS","3A","3A-09","RB 10","RB 07",3,150,"2014-03-06","MI","05:30 AM","moist","3.yesterday","3.medium","0","0","2.moist","1.clear","","1-3 jam","MI","2014",NA,5,10,7.5,"FS.I"
"3162","2.FS","3B","3B-06","GB 02","GB 13",11,550,"2015-01-20","MI","05:30 AM","wet","2.day_before_yesterday","3.medium","0","0","2.moist","5.cloudy","","3-5 jam","MI","2015",NA,5,10,7.5,"FS.I"
"3163","2.FS","3A","3A-04","DS 08","GB 13",10,500,"2016-06-04","JK","05:20 AM","wet","4.last_night","2.drizzle","1","0","3.wet","1.clear","","","JK","2016",NA,5,10,7.5,"FS.I"
"3164","2.FS","4B","4B-03","RS 32","RS 22",10,500,"2013-04-18","LD","05:30 AM","wet","4.last_night","3.medium","5","0","3.wet","1.clear","","< 1jam","LD","2013",NA,5,10,7.5,"FS.I"
"3165","2.FS","4B","4B-02","RS 42","RS 32",10,500,"2013-04-18","LD","05:30 AM","wet","4.last_night","3.medium","2","0","3.wet","5.cloudy","","< 1jam","LD","2013",NA,5,10,7.5,"FS.I"
"3166","2.FS","11A","11A-07","PR 02","RB 02",4,200,"2017-03-13","SY","05:30 AM","wet","4.last_night","3.medium","2","0","3.wet","1.clear","","1-3 jam","SY","2017",NA,5,10,7.5,"FS.I"
"3167","2.FS","3B","3B-10","BM 06","BM 00",6,300,"2013-06-28","MI","05:30 AM","moist","4.last_night","2.drizzle","0","0","2.moist","1.clear","","< 1jam","MI","2013",NA,5,10,7.5,"FS.I"
"3168","2.FS","3A","3A-01","BM 00","BM 06",6,300,"2018-09-30","DK","05:30 AM","moist","4.last_night","2.drizzle","3","0","2.moist","3.fog","",">1 jam","DK","2018",NA,5,10,7.5,"FS.I"
"3169","2.FS","4A","4A-06","RS 22","RS 32",10,500,"2013-06-14","LD/SM","05:30 AM","moist","2.day_before_yesterday","2.drizzle","3","1","2.moist","1.clear","","1-3 jam","> 1 Obs","2013",NA,5,10,7.5,"FS.I"
"3170","2.FS","4A","4A-05","SZ 15","RS 22",10,500,"2013-06-14","LD/SM","05:30 AM","moist","2.day_before_yesterday","2.drizzle","0","1","2.moist","1.clear","","1-3 jam","> 1 Obs","2013",NA,5,10,7.5,"FS.I"
"3171","2.FS","4A","4A-04","TR 06","SZ 15",10,500,"2013-06-14","LD/SM","05:30 AM","moist","2.day_before_yesterday","2.drizzle","1","0","2.moist","1.clear","","1-3 jam","> 1 Obs","2013",NA,5,10,7.5,"FS.I"
"3172","2.FS","4B","4B-01","RS 44","RS 42",2,100,"2020-07-21","SY","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","",">1 jam","SY","2020",NA,5,10,7.5,"FS.I"
"3173","2.FS","4A","4A-04","TR 06","SZ 15",10,500,"2017-11-12","LD","05:30 AM","wet","4.last_night","3.medium","11","1","3.wet","6.drizzle","",">1 jam","LD","2017",NA,5,10,7.5,"FS.I"
"3174","2.FS","4A","4A-07","RS 32","RS 42",10,500,"2013-06-14","LD/SM","05:30 AM","moist","2.day_before_yesterday","2.drizzle","1","0","2.moist","1.clear","","1-3 jam","> 1 Obs","2013",NA,5,10,7.5,"FS.I"
"3175","2.FS","4B","4B-05","SZ 15","TR 06",10,500,"2016-11-22","MI","05:30 AM","wet","5.raining","2.drizzle","2","0","3.wet","1.clear","","<1 jam","MI","2016",NA,5,10,7.5,"FS.I"
"3176","2.FS","3A","3A-08","ST 10","ST 00",10,500,"2018-09-30","DK","05:30 AM","moist","4.last_night","2.drizzle","0","0","2.moist","1.clear","",">1 jam","DK","2018",NA,5,10,7.5,"FS.I"
"3177","2.FS","3B","3B-02","RB 07","RB 10",3,150,"2017-01-26","JK","05:30 AM","wet","4.last_night","3.medium","0","0","3.wet","5.cloudy","","1-3 jam","JK","2017",NA,5,10,7.5,"FS.I"
"3178","2.FS","4A","4A-08","RS 42","RS 44",2,100,"2018-08-10","LD","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","LD","2018",NA,5,10,7.5,"FS.I"
"3179","2.FS","4B","4B-04","RS 22","SZ 15",10,500,"2012-11-27","AB","05:30 AM","wet","4.last_night","4.heavy","2","2","3.wet","1.clear","","","AB","2012",NA,5,10,7.5,"FS.I"
"3180","2.FS","3A","3A-09","RB 10","RB 07",3,150,"2015-03-03","LD","05:30 AM","moist","2.day_before_yesterday","3.medium","2","0","2.moist","1.clear","","<1 jam","LD","2015",NA,5,10,7.5,"FS.I"
"3181","2.FS","4B","4B-01","RS 44","RS 42",2,100,"2014-03-23","LD","05:30 AM","moist","2.day_before_yesterday","3.medium","0","0","2.moist","1.clear","","<1 jam","LD","2014",NA,5,10,7.5,"FS.I"
"3182","2.FS","11B","11B-02","RB 02","PR 02",4,200,"2014-12-23","JK","05:30 AM","moist","4.last_night","3.medium","0","0","2.moist","1.clear","","1-3 jam","JK","2014",NA,5,10,7.5,"FS.I"
"3183","2.FS","3B","3B-06","GB 02","GB 13",11,550,"2018-10-22","SY","05:30 AM","wet","4.last_night","2.drizzle","1","0","3.wet","1.clear","",">1 jam","SY","2018",NA,5,10,7.5,"FS.I"
"3184","2.FS","3B","3B-07","GB 13","DS 08",10,500,"2018-10-22","SY","05:30 AM","wet","4.last_night","2.drizzle","1","0","3.wet","1.clear","",">1 jam","SY","2018",NA,5,10,7.5,"FS.I"
"3185","2.FS","3A","3A-04","DS 08","GB 13",10,500,"2018-03-03","JK & LI","05:30 AM","moist","4.last_night","2.drizzle","0","1","3.wet","1.clear","","<1 jam","> 1 Obs","2018",NA,5,10,7.5,"FS.I"
"3186","2.FS","11A","11A-07","PR 02","RB 02",4,200,"2017-10-13","SY","05:30 AM","wet","3.yesterday","3.medium","1","0","3.wet","1.clear","","1-3 jam","SY","2017",NA,5,10,7.5,"FS.I"
"3187","2.FS","3B","3B-06","GB 02","GB 13",11,550,"2014-10-25","JK","05:30 AM","moist","4.last_night","2.drizzle","2","1","3.wet","1.clear","","<1 jam","JK","2014",NA,5,10,7.5,"FS.I"
"3188","2.FS","4A","4A-05","SZ 15","RS 22",10,500,"2018-01-14","SY","05:30 AM","wet","4.last_night","3.medium","7","1","3.wet","5.cloudy","","1-3 jam","SY","2018",NA,5,10,7.5,"FS.I"
"3189","2.FS","4A","4A-04","TR 06","SZ 15",10,500,"2019-05-15","DK","05:30 AM","moist","3.yesterday","2.drizzle","7","0","2.moist","1.clear","","","DK","2019",NA,5,10,7.5,"FS.I"
"3190","2.FS","4A","4A-07","RS 32","RS 42",10,500,"2019-08-21","SY","05:30 AM","dry","2.day_before_yesterday","2.drizzle","0","0","1.dry","1.clear","","<1 jam","SY","2019",NA,5,10,7.5,"FS.I"
"3191","2.FS","4A","4A-07","RS 32","RS 42",10,500,"2017-01-13","JK","05:30 AM","wet","4.last_night","3.medium","3","0","3.wet","1.clear","","<1 jam","JK","2017",NA,5,10,7.5,"FS.I"
"3192","2.FS","3A","3A-01","BM 00","BM 06",6,300,"2019-02-11","DK","05:35 AM","moist","3.yesterday","2.drizzle","0","0","2.moist","1.clear","","<1 jam","DK","2019",NA,5,10,7.5,"FS.I"
"3193","2.FS","3B","3B-10","BM 06","BM 00",6,300,"2014-05-26","LD","05:30 AM","moist","3.yesterday","2.drizzle","0","0","2.moist","1.clear","","<1 jam","LD","2014",NA,5,10,7.5,"FS.I"
"3194","2.FS","3A","3A-05","GB 13","GB 02",11,550,"2015-10-04","SY","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","SY","2015",NA,5,10,7.5,"FS.I"
"3195","2.FS","3A","3A-09","RB 10","RB 07",3,150,"2018-01-01","SY","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","5.cloudy","","<1 jam","SY","2018",NA,5,10,7.5,"FS.I"
"3196","2.FS","3A","3A-01","BM 00","BM 06",6,300,"2018-07-06","SY","05:30 AM","moist","2.day_before_yesterday","3.medium","0","0","2.moist","1.clear","","<1 jam","SY","2018",NA,5,10,7.5,"FS.I"
"3197","2.FS","11B","11B-02","RB 02","PR 02",4,200,"2017-12-27","JK","05:30 AM","wet","3.yesterday","3.medium","4","0","3.wet","1.clear","","<1 jam","JK","2017",NA,5,10,7.5,"FS.I"
"3198","2.FS","4B","4B-03","RS 32","RS 22",10,500,"2020-09-21","LD","05:30 AM","wet","5.raining","2.drizzle","2","0","3.wet","7.rain","","","LD","2020",NA,5,10,7.5,"FS.I"
"3199","2.FS","3A","3A-05","GB 13","GB 02",11,550,"2015-05-04","MI","05:30 AM","wet","4.last_night","3.medium","1","0","3.wet","1.clear","","1-3 jam","MI","2015",NA,5,10,7.5,"FS.I"
"3200","2.FS","3A","3A-05","GB 13","GB 02",11,550,"2018-07-06","SY","05:30 AM","moist","2.day_before_yesterday","3.medium","4","0","3.wet","1.clear","","<1 jam","SY","2018",NA,5,10,7.5,"FS.I"
"3201","2.FS","11A","11A-07","PR 02","RB 02",4,200,"2020-08-26","DK","05:30 AM","moist","3.yesterday","2.drizzle","0","0","2.moist","5.cloudy","","<1 jam","DK","2020",NA,5,10,7.5,"FS.I"
"3202","2.FS","4A","4A-06","RS 22","RS 32",10,500,"2019-07-10","DK","05:30 AM","moist","2.day_before_yesterday","2.drizzle","1","0","2.moist","1.clear","","<1 jam","DK","2019",NA,5,10,7.5,"FS.I"
"3203","2.FS","3A","3A-09","RB 10","RB 07",3,150,"2013-05-06","MI","05:30 AM","wet","3.yesterday","2.drizzle","0","0","2.moist","1.clear","","1 jam","MI","2013",NA,5,10,7.5,"FS.I"
"3204","2.FS","3A","3A-01","BM 00","BM 06",6,300,"2019-12-03","DK","05:30 AM","wet","3.yesterday","2.drizzle","2","0","3.wet","5.cloudy","<1 jam","","DK","2019",NA,5,10,7.5,"FS.I"
"3205","2.FS","4B","4B-04","RS 22","SZ 15",10,500,"2014-05-18","LD","05:30 AM","moist","3.yesterday","3.medium","1","0","2.moist","1.clear","","<1 jam","LD","2014",NA,5,10,7.5,"FS.I"
"3206","2.FS","4A","4A-04","TR 06","SZ 15",10,500,"2018-03-13","LD & SM","05:30 AM","wet","3.yesterday","3.medium","12","1","3.wet","5.cloudy","",">7 jam","> 1 Obs","2018",NA,5,10,7.5,"FS.I"
"3207","2.FS","3B","3B-06","GB 02","GB 13",11,550,"2013-10-31","MI","05:30 AM","wet","4.last_night","4.heavy","3","0","3.wet","1.clear","","1-3 jam","MI","2013",NA,5,10,7.5,"FS.I"
"3208","2.FS","4B","4B-01","RS 44","RS 42",2,100,"2016-08-19","MI","05:35 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","MI","2016",NA,5,10,7.5,"FS.I"
"3209","2.FS","4B","4B-03","RS 32","RS 22",10,500,"2016-08-19","MI","05:35 AM","dry","1.over_48_hours","1.no_rain","1","0","1.dry","1.clear","","","MI","2016",NA,5,10,7.5,"FS.I"
"3210","2.FS","4A","4A-04","TR 06","SZ 15",10,500,"2016-03-13","LD","05:30 AM","wet","3.yesterday","3.medium","3","0","3.wet","5.cloudy","","","LD","2016",NA,5,10,7.5,"FS.I"
"3211","2.FS","4B","4B-03","RS 32","RS 22",10,500,"2017-08-23","DK","05:45 AM","moist","2.day_before_yesterday","3.medium","5","0","2.moist","5.cloudy","",">1 jam","DK","2017",NA,5,10,7.5,"FS.I"
"3212","2.FS","11B","11B-02","RB 02","PR 02",4,200,"2020-02-29","JK","05:30 AM","wet","3.yesterday","3.medium","4","0","3.wet","1.clear","","<1 jam","JK","2020",NA,5,10,7.5,"FS.I"
"3213","2.FS","4B","4B-03","RS 32","RS 22",10,500,"2018-03-23","JK & DL","05:30 AM","moist","4.last_night","2.drizzle","12","0","3.wet","1.clear","","<1 jam","> 1 Obs","2018",NA,5,10,7.5,"FS.I"
"3214","2.FS","4A","4A-05","SZ 15","RS 22",10,500,"2015-10-11","JK","05:30 AM","moist","1.over_48_hours","1.no_rain","0","0","2.moist","1.clear","","","JK","2015",NA,5,10,7.5,"FS.I"
"3215","2.FS","3B","3B-10","BM 06","BM 00",6,300,"2013-05-27","AB","05:30 AM","wet","4.last_night","2.drizzle","0","0","2.moist","1.clear","","1-3 jam","AB","2013",NA,5,10,7.5,"FS.I"
"3216","2.FS","4A","4A-04","TR 06","SZ 15",10,500,"2014-12-13","MI","05:30 AM","moist","2.day_before_yesterday","2.drizzle","1","0","2.moist","1.clear","","1-3 jam","MI","2014",NA,5,10,7.5,"FS.I"
"3217","2.FS","3B","3B-03","ST 00","ST 10",10,500,"2016-05-28","LD","05:30 AM","moist","2.day_before_yesterday","3.medium","2","0","2.moist","5.cloudy","","","LD","2016",NA,5,10,7.5,"FS.I"
"3218","2.FS","3B","3B-02","RB 07","RB 10",3,150,"2012-12-21","AB/MI","05:30 AM","wet","3.yesterday","2.drizzle","0","0","3.wet","5.cloudy","jalan census 2 orang tapi saya hitung satu orang yang berada di depan saja","<1jam","> 1 Obs","2012",NA,5,10,7.5,"FS.I"
"3219","2.FS","4A","4A-06","RS 22","RS 32",10,500,"2015-05-12","LD/MK","05:30 AM","moist","2.day_before_yesterday","3.medium","0","0","2.moist","1.clear","","<1 jam","> 1 Obs","2015",NA,5,10,7.5,"FS.I"
"3220","2.FS","11B","11B-02","RB 02","PR 02",4,200,"2013-02-20","MI","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","5.cloudy","","< 1 jam","MI","2013",NA,5,10,7.5,"FS.I"
"3221","2.FS","4A","4A-04","TR 06","SZ 15",10,500,"2020-06-10","LD","05:30 AM","moist","1.over_48_hours","1.no_rain","1","0","2.moist","1.clear","","","LD","2020",NA,5,10,7.5,"FS.I"
"3222","2.FS","3A","3A-05","GB 13","GB 02",11,550,"2016-12-03","MI","05:30 AM","wet","3.yesterday","2.drizzle","1","0","3.wet","1.clear","","1-3 jam","MI","2016",NA,5,10,7.5,"FS.I"
"3223","2.FS","4B","4B-02","RS 42","RS 32",10,500,"2015-05-21","SY","05:30 AM","wet","4.last_night","2.drizzle","1","0","3.wet","1.clear","","<1 jam","SY","2015",NA,5,10,7.5,"FS.I"
"3224","2.FS","3A","3A-05","GB 13","GB 02",11,550,"2018-09-02","JK","05:30 AM","wet","3.yesterday","3.medium","0","0","3.wet","1.clear","","","JK","2018",NA,5,10,7.5,"FS.I"
"3225","2.FS","4B","4B-05","SZ 15","TR 06",10,500,"2015-05-21","SY","05:30 AM","wet","4.last_night","2.drizzle","1","1","3.wet","1.clear","","<1 jam","SY","2015",NA,5,10,7.5,"FS.I"
"3226","2.FS","3A","3A-01","BM 00","BM 06",6,300,"2014-04-01","LD","05:30 AM","wet","3.yesterday","3.medium","1","0","3.wet","1.clear","","<1 jam","LD","2014",NA,5,10,7.5,"FS.I"
"3227","2.FS","3B","3B-06","GB 02","GB 13",11,550,"2017-12-20","DK","05:30 AM","moist","2.day_before_yesterday","3.medium","1","2","2.moist","1.clear","",">1 jam","DK","2017",NA,5,10,7.5,"FS.I"
"3228","2.FS","4B","4B-03","RS 32","RS 22",10,500,"2018-07-20","SY","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","SY","2018",NA,5,10,7.5,"FS.I"
"3229","2.FS","3B","3B-02","RB 07","RB 10",3,150,"2020-08-21","DK","05:30 AM","moist","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","DK","2020",NA,5,10,7.5,"FS.I"
"3230","2.FS","3B","3B-06","GB 02","GB 13",11,550,"2019-04-21","LD","05:30 AM","wet","2.day_before_yesterday","3.medium","1","0","3.wet","1.clear","","1-3 jam","LD","2019",NA,5,10,7.5,"FS.I"
"3231","2.FS","4A","4A-07","RS 32","RS 42",10,500,"2013-12-10","LD","05:30 AM","wet/moist","2.day_before_yesterday","2.drizzle","3","0","3.wet","5.cloudy","","< 1 jam","LD","2013",NA,5,10,7.5,"FS.I"
"3232","2.FS","3B","3B-10","BM 06","BM 00",6,300,"2019-04-21","LD","05:30 AM","wet","2.day_before_yesterday","3.medium","0","0","2.moist","1.clear","","1-3 jam","LD","2019",NA,5,10,7.5,"FS.I"
"3233","2.FS","3B","3B-06","GB 02","GB 13",11,550,"2015-07-05","LD","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","2.moist","1.clear","","","LD","2015",NA,5,10,7.5,"FS.I"
"3234","2.FS","4B","4B-02","RS 42","RS 32",10,500,"2019-12-18","LD","05:30 AM","wet","3.yesterday","4.heavy","1","0","3.wet","5.cloudy","5-7 jam","","LD","2019",NA,5,10,7.5,"FS.I"
"3235","2.FS","11B","11B-02","RB 02","PR 02",4,200,"2019-09-05","DK","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","3.fog","","","DK","2019",NA,5,10,7.5,"FS.I"
"3236","2.FS","3B","3B-10","BM 06","BM 00",6,300,"2015-12-27","JK","05:30 AM","moist","3.yesterday","2.drizzle","0","0","3.wet","1.clear","","","JK","2015",NA,5,10,7.5,"FS.I"
"3237","2.FS","4B","4B-01","RS 44","RS 42",2,100,"2017-05-17","LD","05:30 AM","wet","5.raining","2.drizzle","1","0","3.wet","6.drizzle","","","LD","2017",NA,5,10,7.5,"FS.I"
"3238","2.FS","4B","4B-05","SZ 15","TR 06",10,500,"2018-05-21","SY","05:30 AM","wet","3.yesterday","2.drizzle","3","3","3.wet","1.clear","","1-3 jam","SY","2018",NA,5,10,7.5,"FS.I"
"3239","2.FS","4A","4A-06","RS 22","RS 32",10,500,"2016-12-12","SY","05:30 AM","wet","3.yesterday","4.heavy","1","0","3.wet","1.clear","",">1 jam","SY","2016",NA,5,10,7.5,"FS.I"
"3240","2.FS","4A","4A-08","RS 42","RS 44",2,100,"2016-12-12","SY","05:30 AM","wet","3.yesterday","4.heavy","0","0","3.wet","6.drizzle","",">1 jam","SY","2016",NA,5,10,7.5,"FS.I"
"3241","2.FS","11B","11B-02","RB 02","PR 02",4,200,"2013-04-20","MI","05:30 AM","moist","2.day_before_yesterday","2.drizzle","0","0","1.dry","1.clear","","1-3 jam","MI","2013",NA,5,10,7.5,"FS.I"
"3242","2.FS","4A","4A-07","RS 32","RS 42",10,500,"2019-04-12","DK","05:30 AM","moist","3.yesterday","4.heavy","5","0","2.moist","1.clear","",">1 jam","DK","2019",NA,5,10,7.5,"FS.I"
"3243","2.FS","11A","11A-07","PR 02","RB 02",4,200,"2016-04-15","MI","05:30 AM","moist","4.last_night","2.drizzle","1","0","2.moist","1.clear","","","MI","2016",NA,5,10,7.5,"FS.I"
"3244","2.FS","11B","11B-02","RB 02","PR 02",4,200,"2016-04-24","SY","05:30 AM","wet","2.day_before_yesterday","3.medium","0","0","3.wet","1.clear","","","SY","2016",NA,5,10,7.5,"FS.I"
"3245","2.FS","11B","11B-02","RB 02","PR 02",4,200,"2017-04-30","SY","05:30 AM","moist","1.over_48_hours","1.no_rain","2","0","2.moist","1.clear","","","SY","2017",NA,5,10,7.5,"FS.I"
"3246","2.FS","3B","3B-03","ST 00","ST 10",10,500,"2017-02-19","LD","05:30 AM","wet","5.raining","2.drizzle","2","0","3.wet","6.drizzle","","","LD","2017",NA,5,10,7.5,"FS.I"
"3247","2.FS","4A","4A-05","SZ 15","RS 22",10,500,"2018-09-13","LD","05:30 AM","moist","3.yesterday","2.drizzle","1","0","2.moist","1.clear","","","LD","2018",NA,5,10,7.5,"FS.I"
"3248","2.FS","3A","3A-08","ST 10","ST 00",10,500,"2015-09-03","LD","05:30 AM","dry","1.over_48_hours","1.no_rain","0","0","1.dry","1.clear","","","LD","2015",NA,5,10,7.5,"FS.I"
"3249","2.FS","3A","3A-01","BM 00","BM 06",6,300,"2014-06-07","MI","05:30 AM","wet","3.yesterday","3.medium","2","0","3.wet","1.clear","","<1 jam","MI","2014",NA,5,10,7.5,"FS.I"
"3250","2.FS","4A","4A-08","RS 42","RS 44",2,100,"2018-09-13","LD","05:30 AM","moist","3.yesterday","2.drizzle","0","0","2.moist","1.clear","","","LD","2018",NA,5,10,7.5,"FS.I"
"3251","2.FS","4B","4B-03","RS 32","RS 22",10,500,"2015-02-20","SY","05:30 AM","wet","4.last_night","3.medium","4","0","3.wet","5.cloudy","","1-3 jam","SY","2015",NA,5,10,7.5,"FS.I"
"3252","2.FS","3A","3A-09","RB 10","RB 07",3,150,"2015-04-03","LD","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","1.clear","","1-3 jam","LD","2015",NA,5,10,7.5,"FS.I"
"3253","2.FS","11B","11B-02","RB 02","PR 02",4,200,"2019-03-27","DK","05:30 AM","moist","5.raining","4.heavy","0","0","2.moist","1.clear","",">1 jam","DK","2019",NA,5,10,7.5,"FS.I"
"3254","2.FS","4A","4A-05","SZ 15","RS 22",10,500,"2013-02-06","AB","05:30 AM","wet","4.last_night","3.medium","0","0","2.moist","1.clear","","<1 jam","AB","2013",NA,5,10,7.5,"FS.I"
"3255","2.FS","4B","4B-04","RS 22","SZ 15",10,500,"2020-02-21","DK","05:30 AM","wet","5.raining","3.medium","0","0","3.wet","5.cloudy","",">1 jam","DK","2020",NA,5,10,7.5,"FS.I"
"3256","2.FS","11B","11B-02","RB 02","PR 02",4,200,"2017-11-28","DK","05:30 AM","moist","4.last_night","3.medium","4","0","2.moist","6.drizzle","",">1 jam","DK","2017",NA,5,10,7.5,"FS.I"
"3257","2.FS","4B","4B-05","SZ 15","TR 06",10,500,"2014-04-21","SY","05:30 AM","moist","3.yesterday","3.medium","1","0","2.moist","1.clear","","<1 jam","SY","2014",NA,5,10,7.5,"FS.I"
"3258","2.FS","3B","3B-06","GB 02","GB 13",11,550,"2018-11-18","DK","05:30 AM","wet","3.yesterday","2.drizzle","0","0","3.wet","1.clear","","<1 jam","DK","2018",NA,5,10,7.5,"FS.I"
"3259","2.FS","11B","11B-02","RB 02","PR 02",4,200,"2020-04-09","DK","05:30 AM","wet","4.last_night","2.drizzle","0","0","3.wet","1.clear","","<1 jam","DK","2020",NA,5,10,7.5,"FS.I"
