6A,6A-04,LG,HB 14,HB 04,10,500,2013-10-09,LD/SJ,05:30 AM,kering,kemarin dulu,sedang,0,0,kering,mendung,,1-3 jam,,,,,,
6A,6A-05,LG,HB 04,DP 7,10,500,2013-10-09,LD/SJ,05:30 AM,kering,kemarin dulu,sedang,0,0,kering,cerah,,1-3 jam,,,,,,
6A,6A-06,LG,SI 28,SI 18,10,500,2013-10-09,LD/SJ,05:30 AM,kering,kemarin dulu,sedang,0,0,kering,cerah,,1-3 jam,,,,,,
6A,6A-07,LG,SI 18,SI 08,10,500,2013-10-09,LD/SJ,05:30 AM,kering,kemarin dulu,sedang,0,0,kering,cerah,,1-3 jam,,,,,,
6A,6A-08,LG,SI 08,SI 05,3,150,2013-10-09,LD/SJ,05:30 AM,kering,kemarin dulu,sedang,0,0,kering,cerah,,1-3 jam,,,,,,
6A,6A-09,LS,SI 05,SI 00,5,250,2013-10-09,LD/SJ,05:30 AM,kering,kemarin dulu,sedang,0,0,kering,cerah,,1-3 jam,,,,,,
6B,6B-01,LS,SI 00,SI 05,5,250,2013-10-30,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,gerimis,Sensus saya selesaikan di HB 6 (hurus turun ke kampung).,<1 jam,,,,,,
6B,6B-02,LG,SI 5,SI 08,3,150,2013-10-30,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,gerimis,,<1 jam,,,,,,
6B,6B-03,LG,SI 08,SI 18,10,500,2013-10-30,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,mendung,,<1 jam,,,,,,
6B,6B-04,LG,SI 18,SI 28,10,500,2013-10-30,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,<1 jam,,,,,,
6B,6B-05,LG,DP 7,HB 04,10,500,2013-10-30,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,<1 jam,,,,,,
6B,6B-06,LG,HB 04,HB 14,10,500,--------------------------------STOPPED AT HB 6-------------------------,,,,,,,,,,,,,,,,,
6B,6B-07,LG,HB 14,UB 23,10,500,--------------------------------STOPPED AT HB 6-------------------------,,,,,,,,,,,,,,,,,
6B,6B-08,LG,UB 23,UB 13,10,500,--------------------------------STOPPED AT HB 6-------------------------,,,,,,,,,,,,,,,,,
6B,6B-09,LS,UB 13,UB 04,9,450,--------------------------------STOPPED AT HB 6-------------------------,,,,,,,,,,,,,,,,,
7A,7A-01,UG,TK 13,MR 12,10,500,2013-10-02,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
7A,7A-02,UG,MR 12,MR 02,10,500,2013-10-02,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
7A,7A-03,UG,MR 02,GP 74,4,200,2013-10-02,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
7A,7A-04,MO,PP 10,PP 00,10,500,2013-10-02,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
7A,7A-05,MO,GP 79,GP 89,10,500,2013-10-02,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
7A,7A-06,MO,GP 89,GP 99,10,500,2013-10-02,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
7A,7A-07,MO,GP 99,GP 107,8,400,2013-10-02,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
7B,7B-01,UG,TK 13,MR 12,10,500,2013-10-26,MI,05:30 AM,lembab,kemarin,kwat,0,0,lembab,cerah,,1-3 jam,,,,,,
7B,7B-02,UG,MR 12,MR 02,10,500,2013-10-26,MI,05:30 AM,lembab,kemarin,kwat,0,0,lembab,cerah,,1-3 jam,,,,,,
7B,7B-03,UG,MR 02,GP 74,4,200,2013-10-26,MI,05:30 AM,lembab,kemarin,kwat,0,0,lembab,cerah,,1-3 jam,,,,,,
7B,7B-04,MO,PP 10,PP 00,10,500,2013-10-26,MI,05:30 AM,lembab,kemarin,kwat,0,0,lembab,cerah,,1-3 jam,,,,,,
7B,7B-05,MO,GP 79,GP 89,10,500,2013-10-26,MI,05:30 AM,lembab,kemarin,kwat,0,0,lembab,cerah,,1-3 jam,,,,,,
7B,7B-06,MO,GP 89,GP 99,10,500,2013-10-26,MI,05:30 AM,lembab,kemarin,kwat,0,0,lembab,cerah,,1-3 jam,,,,,,
7B,7B-07,MO,GP 99,GP 107,8,400,2013-10-26,MI,05:30 AM,lembab,kemarin,kwat,0,0,lembab,cerah,,1-3 jam,,,,,,
8A,8A-01,UG,NB 05,NB15,10,500,2013-10-02,MI,05:40 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
8A,8A-02,UG,NB 15,UB 52,10,500,2013-10-02,MI,05:40 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
8A,8A-03,UG,UB 52,LM 08,10,500,2013-10-02,MI,05:40 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
8A,8A-04,UG,LM 08,LM 02,6,300,2013-10-02,MI,05:40 AM,kering,kosong,tidak ada hujan,1,0,kering,cerah,,,,,,,,
8A,8A-05,MO,LM 02,UB 71,9,450,2013-10-02,MI,05:40 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
8A,8A-06,MO,UB 71,JJ 05,10,500,2013-10-02,MI,05:40 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
8A,8A-07,MO,JJ 05,UB 88,9,450,2013-10-02,MI,05:40 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
8B,8B-01,UG,NB 05,NB15,10,500,2013-10-26,SY,05:35 AM,lembab,kemarin,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
8B,8B-02,UG,NB 15,UB 52,10,500,2013-10-26,SY,05:35 AM,lembab,kemarin,kwat,0,0,lembab,cerah,,1-3 jam,,,,,,
8B,8B-03,UG,UB 52,LM 08,10,500,2013-10-26,SY,05:35 AM,lembab,kemarin,kwat,0,0,lembab,cerah,,1-3 jam,,,,,,
8B,8B-04,UG,LM 08,LM 02,6,300,2013-10-26,SY,05:35 AM,lembab,kemarin,kwat,0,0,lembab,cerah,,1-3 jam,,,,,,
8B,8B-05,MO,LM 02,UB 71,9,450,2013-10-26,SY,05:35 AM,lembab,kemarin,kwat,0,1,lembab,cerah,,1-3 jam,,,,,,
8B,8B-06,MO,UB 71,JJ 05,10,500,2013-10-26,SY,05:35 AM,lembab,kemarin,kwat,0,0,lembab,mendung,,1-3 jam,,,,,,
8B,8B-07,MO,JJ 05,UB 88,9,450,2013-10-26,SY,05:35 AM,lembab,kemarin,kwat,0,0,lembab,mendung,,1-3 jam,,,,,,
11A,11A-01,LS,BC 00,BC10,10,500,2013-10-12,SY,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
11A,11A-02,LS,BC 10,QX 06,10,500,2013-10-12,SY,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
11A,11A-03,LS,QX 06,JB 04,9,450,2013-10-12,SY,05:30 AM,basah,kemarin,sedang,1,0,basah,cerah,,1-3 jam,,,,,,
11A,11A-04,LG,JB 04,JB 07,3,150,2013-10-12,SY,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
11A,11A-05,LS,PB 15,PB 05,10,500,2013-10-12,SY,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
11A,11A-06,LS,CK 05,PR 02,8,400,2013-10-12,SY,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
11A,11A-07,FS,PR 02,RB 02,4,200,2013-10-12,SY,05:30 AM,basah,kemarin,sedang,1,0,basah,cerah,,1-3 jam,,,,,,
11A,11A-08,AB,RB 02,AP 08,11,550,2013-10-12,SY,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
11B,11B-01,AB,AP 08,RB 02,11,550,2013-10-29,MI,05:30 AM,basah,kemarin,gerimis,2,0,basah,mendung,,<1 jam,,,,,,
11B,11B-02,FS,RB 02,PR 02,4,200,2013-10-29,MI,05:30 AM,basah,kemarin,gerimis,0,0,basah,mendung,,<1 jam,,,,,,
11B,11B-03,LS,PR 02,CK 05,8,400,2013-10-29,MI,05:30 AM,basah,kemarin,gerimis,6,1,basah,mendung,,<1 jam,,,,,,
11B,11B-04,LS,PB 05,PB 15,10,500,2013-10-29,MI,05:30 AM,basah,kemarin,gerimis,1,0,basah,cerah,,<1 jam,,,,,,
11B,11B-05,LG,JB 07,JB 04,3,150,2013-10-29,MI,05:30 AM,basah,kemarin,gerimis,0,0,lembab,cerah,,<1 jam,,,,,,
11B,11B-06,LS,JB 04,QX 06,9,450,2013-10-29,MI,05:30 AM,basah,kemarin,gerimis,1,0,lembab ,cerah,,<1 jam,,,,,,
11B,11B-07,LS,QX 06,BC 10,10,500,2013-10-29,MI,05:30 AM,basah,kemarin,gerimis,0,0,basah,mendung,,<1 jam,,,,,,
11B,11B-08,LS,BC10,BC 00,10,500,2013-10-29,MI,05:30 AM,basah,kemarin,gerimis,2,0,basah,gerimis,,<1 jam,,,,,,
12A,12A-01,AB,MB 00,RR 02,10,500,2013-09-30,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
12A,12A-02,AB,RR 02,MT 02,10,500,2013-09-30,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
12A,12A-03,AB,MT 02,MT 05,3,150,2013-09-30,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
12A,12A-04,LS,MT 05,UB 02,10,500,2013-09-30,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
12A,12A-05,LS,UB 02,AT 08,10,500,2013-09-30,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
12A,12A-06,LS,AT 08,AT 17,9,450,2013-09-30,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
12A,12A-07,AB,AT 17,BK 06,10,500,2013-09-30,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
12A,12A-08,AB,DT 12,DT 05,7,350,2013-09-30,SY,05:30 AM,kering,kosong,tidak ada hujan,0,0,kering,cerah,,,,,,,,
12B,12B-01,AB,DT 05,DT 12,7,350,2013-10-23,MI,05:30 AM,basah,tadi malam,gerimis,0,0,basah,mendung,,1-3 jam,,,,,,
12B,12B-02,AB,BK 06,AT 17,10,500,2013-10-23,MI,05:30 AM,basah,tadi malam,gerimis,2,0,basah,mendung,,1-3 jam,,,,,,
12B,12B-03,LS,AT 17,AT 08,9,450,2013-10-23,MI,05:30 AM,basah,tadi malam,gerimis,0,0,basah,cerah,,1-3 jam,,,,,,
12B,12B-04,LS,AT 08,UB 02,10,500,2013-10-23,MI,05:30 AM,basah,tadi malam,gerimis,0,0,basah,cerah,,1-3 jam,,,,,,
12B,12B-05,LS,UB 02,MT 05,10,500,2013-10-23,MI,05:30 AM,basah,tadi malam,gerimis,1,0,basah,cerah,,1-3 jam,,,,,,
12B,12B-06,AB,MT 05,MT 02,3,150,2013-10-23,MI,05:30 AM,basah,tadi malam,gerimis,0,0,lembab,cerah,,1-3 jam,,,,,,
12B,12B-07,AB,MT 02,RR 02,10,500,2013-10-23,MI,05:30 AM,basah,tadi malam,gerimis,2,0,lembab,cerah,,1-3 jam,,,,,,
12B,12B-08,AB,RR 02,MB 00,10,500,2013-10-23,MI,05:30 AM,basah,tadi malam,gerimis,0,0,lembab,mendung,,1-3 jam,,,,,,
13A,13A-01,UG,ML 20,GP 58,10,500,2013-10-06,LD,05:30 AM,lembab,kermarin,gerimis,0,0,lembab,cerah,,<1 jam,,,,,,
13A,13A-02,UG,GP 58,GP 68,10,500,2013-10-06,LD,05:30 AM,lembab,kermarin,gerimis,0,0,lembab,cerah,,<1 jam,,,,,,
13A,13A-03,UG,GP 68,GP 74,6,300,2013-10-06,LD,05:30 AM,lembab,kermarin,gerimis,0,0,lembab,cerah,,<1 jam,,,,,,
13A,13A-04,MO,PP 10,FS 25,10,500,2013-10-06,LD,05:30 AM,lembab,kermarin,gerimis,0,0,lembab,cerah,,<1 jam,,,,,,
13A,13A-05,UG,FS 25,FS 15,10,500,2013-10-06,LD,05:30 AM,lembab,kermarin,gerimis,0,0,lembab,cerah,,<1 jam,,,,,,
13A,13A-06,UG,FS 15,FS 04,11,550,2013-10-06,LD,05:30 AM,lembab,kermarin,gerimis,0,0,lembab,cerah,,<1 jam,,,,,,
13A,13A-07,UG,MR 8,TK 18,10,500,2013-10-06,LD,05:30 AM,lembab,kermarin,gerimis,0,0,lembab,cerah,,<1 jam,,,,,,
13A,13A-08,UG,TK 18,TK 13,5,250,2013-10-06,LD,05:30 AM,lembab,kermarin,gerimis,0,0,kering,mendung,,<1 jam,,,,,,
13B,13B-01,UG,TK 13,TK 18,5,250,2013-10-27,LD,05:40 AM,basah,lagi hujan,gerimis,0,0,basah,gerimis,Di saat mulai census cuaca lagi mendung dan hujan gerimis kecil.,,,,,,,
13B,13B-02,UG,TK 18,MR 8,10,500,2013-10-27,LD,05:40 AM,basah,lagi hujan,gerimis,1,0,basah,mendung,,,,,,,,
13B,13B-03,UG,FS 04,FS 15,11,550,2013-10-27,LD,05:40 AM,basah,lagi hujan,gerimis,0,1,basah,mendung,,,,,,,,
13B,13B-04,UG,FS 15,FS 25,10,500,2013-10-27,LD,05:40 AM,basah,lagi hujan,gerimis,0,1,basah,mendung,,,,,,,,
13B,13B-05,MO,FS 25,PP 10,10,500,2013-10-27,LD,05:40 AM,basah,lagi hujan,gerimis,0,0,basah,mendung,,,,,,,,
13B,13B-06,UG,GP 74,GP 68,6,300,2013-10-27,LD,05:40 AM,basah,lagi hujan,gerimis,0,2,basah,mendung,,,,,,,,
13B,13B-07,UG,GP 68,GP 58,10,500,2013-10-27,LD,05:40 AM,basah,lagi hujan,gerimis,0,0,basah,mendung,,,,,,,,
13B,13B-08,UG,GP 58,ML 20,10,500,2013-10-27,LD,05:40 AM,basah,lagi hujan,gerimis,0,0,basah,mendung,,,,,,,,
14A,14A-01,LG,UB 26,UB 30,4,200,2013-10-10,MI,05:30 AM,lembab,kemarin,sedang,0,0,lembab,mendung,,1-3 jam,,,,,,
14A,14A-02,UG,UB 30,UB 40,10,500,2013-10-10,MI,05:30 AM,lembab,kemarin,sedang,0,0,lembab,cerah,,1-3 jam,,,,,,
14A,14A-03,UG,UB 40,UB 50,10,500,2013-10-10,MI,05:30 AM,lembab,kemarin,sedang,0,0,lembab,cerah,,1-3 jam,,,,,,
14A,14A-04,UG,UB 50,UB 60,10,500,2013-10-10,MI,05:30 AM,lembab,kemarin,sedang,0,0,lembab,cerah,,1-3 jam,,,,,,
14A,14A-05,UG,UB 60,MS 24,10,500,2013-10-10,MI,05:30 AM,lembab,kemarin,sedang,0,0,lembab,cerah,,1-3 jam,,,,,,
14A,14A-06,UG,MS 24,MS 14,10,500,2013-10-10,MI,05:30 AM,lembab,kemarin,sedang,2,0,lembab,cerah,,1-3 jam,,,,,,
14A,14A-07,UG,MS 14,MS 04,10,500,2013-10-10,MI,05:30 AM,lembab,kemarin,sedang,0,0,lembab,cerah,,1-3 jam,,,,,,
14A,14A-08,UG,MS 04,NB 14,10,500,2013-10-10,MI,05:30 AM,lembab,kemarin,sedang,0,0,lembab,mendung,,1-3 jam,,,,,,
14A,14A-09,UG,NB 14,NB 05,9,450,2013-10-10,MI,05:30 AM,lembab,kemarin,sedang,0,0,lembab,mendung,,1-3 jam,,,,,,
14B,14B-01,UG,NB 05,NB 14,9,450,2013-10-31,SY,05:35 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
14B,14B-02,UG,NB 14,MS 04,10,500,2013-10-31,SY,05:35 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
14B,14B-03,UG,MS 04,MS 14,10,500,2013-10-31,SY,05:35 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
14B,14B-04,UG,MS 14,MS 24,10,500,2013-10-31,SY,05:35 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
14B,14B-05,UG,MS 24,UB 60,10,500,2013-10-31,SY,05:35 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
14B,14B-06,UG,UB 60,UB 50,10,500,2013-10-31,SY,05:35 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
14B,14B-07,UG,UB 50,UB 40,10,500,2013-10-31,SY,05:35 AM,basah,tadi malam,kwat,0,1,basah,cerah,,1-3 jam,,,,,,
14B,14B-08,UG,UB 40,UB 30,10,500,2013-10-31,SY,05:35 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
14B,14B-09,UG,UB 30,UB 26,4,200,2013-10-31,SY,05:35 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
1A,1A-01,PS,KP 37,KP 27,10,500,2013-11-08,SY,05:30 AM,basah,tadi malam,kwat,1,0,basah,mendung,,1-3 jam,,,,,,
1A,1A-02,PS,KP 27,KP 17,10,500,2013-11-08,SY,05:30 AM,basah,tadi malam,kwat,1,0,basah,mendung,,1-3 jam,,,,,,
1A,1A-03,PS,TZ 0,BD 13,10,500,2013-11-08,SY,05:30 AM,basah,tadi malam,kwat,0,0,basah,mendung,,1-3 jam,,,,,,
1A,1A-04,PS,BD 13,BD 03,10,500,2013-11-08,SY,05:30 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
1A,1A-05,PS,BD 03,RB 20,10,500,2013-11-08,SY,05:30 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
1A,1A-06,PS,KP 00,KP 10,10,500,2013-11-08,SY,05:30 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
1A,1A-07,PS,KP 10,KP15,5,250,2013-11-08,SY,05:30 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
1B,1B-01,PS,KP15,KP 10,5,250,2013-11-26,SY,05:30 AM,basah,tadi malam,sedang,1,0,basah,mendung,,,,,,,,
1B,1B-02,PS,KP 10,KP 00,10,500,2013-11-26,SY,05:30 AM,basah,tadi malam,sedang,0,1,basah,mendung,,,,,,,,
1B,1B-03,PS,RB 20,BD 03,10,500,2013-11-26,SY,05:30 AM,basah,tadi malam,sedang,0,0,basah,cerah,,,,,,,,
1B,1B-04,PS,BO 03,BD 13,10,500,2013-11-26,SY,05:30 AM,basah,tadi malam,sedang,0,0,basah,cerah,,,,,,,,
1B,1B-05,PS,BD 13,TZ 00,10,500,2013-11-26,SY,05:30 AM,basah,tadi malam,sedang,0,0,basah,cerah,,,,,,,,
1B,1B-06,PS,KP 17,KP 27,10,500,2013-11-26,SY,05:30 AM,basah,tadi malam,sedang,1,0,basah,cerah,,,,,,,,
1B,1B-07,PS,KP 27,KP 37,10,500,2013-11-26,SY,05:30 AM,basah,tadi malam,sedang,0,0,basah,cerah,,,,,,,,
2A,2A-01,PS,DG 0,IF 15,10,500,2013-11-09,LD,05:30 AM,basah,kemarin,sedang,1,0,basah,cerah,,1-3 jam,,,,,,
2A,2A-02,PS,IF 15,IF 25,10,500,2013-11-09,LD,05:30 AM,basah,kemarin,sedang,2,0,basah,cerah,,1-3 jam,,,,,,
2A,2A-03,PS,IF 25,IF 35,10,500,2013-11-09,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
2A,2A-04,PS,IF 35,IF 45,10,500,2013-11-09,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
2A,2A-05,PS,IF 45,RG 00,10,500,2013-11-09,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
2A,2A-06,PS,TZ 27,TZ 17,10,500,2013-11-09,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
2A,2A-07,PS,TZ 17,TZ 07,10,500,2013-11-09,LD,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
2B,2B-01,PS,TZ 07,TZ 17,10,500,2013-11-16,MI,05:30 AM,basah,kemarin,gerimis,1,0,basah,mendung,,<1 jam,,,,,,
2B,2B-02,PS,TZ 17,TZ 27,10,500,2013-11-16,MI,05:30 AM,basah,kemarin,gerimis,0,0,basah,mendung,,<1 jam,,,,,,
2B,2B-03,PS,RG 00,IF 45,10,500,2013-11-16,MI,05:30 AM,basah,kemarin,gerimis,2,0,basah,mendung,,<1 jam,,,,,,
2B,2B-04,PS,IF 45,IF 35,10,500,2013-11-16,MI,05:30 AM,basah,kemarin,gerimis,0,0,basah,mendung,,<1 jam,,,,,,
2B,2B-05,PS,IF 35,IF 25,10,500,2013-11-16,MI,05:30 AM,basah,kemarin,gerimis,0,0,basah,mendung,,<1 jam,,,,,,
2B,2B-06,PS,IF 25,IF 15,10,500,2013-11-16,MI,05:30 AM,basah,kemarin,gerimis,1,1,basah,cerah,,<1 jam,,,,,,
2B,2B-07,PS,IF 15,DG 0,10,500,2013-11-16,MI,05:30 AM,basah,kemarin,gerimis,0,0,basah,cerah,,<1 jam,,,,,,
3A,3A-01,FS,BM 00,BM 06,6,300,2013-11-05,SY,05:30 AM,basah,tadi malam,sedang,1,0,basah,mendung,,<1 jam,,,,,,
3A,3A-02,AB,BM 06,BM 16,10,500,2013-11-05,SY,05:30 AM,basah,tadi malam,sedang,2,1,basah,cerah,,<1 jam,,,,,,
3A,3A-03,AB,DS 12,DS 08,4,200,2013-11-05,SY,05:30 AM,basah,tadi malam,sedang,3,0,basah,cerah,,<1 jam,,,,,,
3A,3A-04,FS,DS 08,GB 13,10,500,2013-11-05,SY,05:30 AM,basah,tadi malam,sedang,5,1,basah,cerah,,<1 jam,,,,,,
3A,3A-05,FS,GB 13,GB 02,11,550,2013-11-05,SY,05:30 AM,basah,tadi malam,sedang,0,0,basah,cerah,,<1 jam,,,,,,
3A,3A-06,AB,GB 02,SP 08,10,500,2013-11-05,SY,05:30 AM,basah,tadi malam,sedang,0,0,basah,cerah,,<1 jam,,,,,,
3A,3A-07,AB,SP 08,TR 05,5,250,2013-11-05,SY,05:30 AM,basah,tadi malam,sedang,1,0,basah,cerah,,<1 jam,,,,,,
3A,3A-08,FS,ST 10,ST 00,10,500,2013-11-05,SY,05:30 AM,basah,tadi malam,sedang,2,0,basah,cerah,,<1 jam,,,,,,
3A,3A-09,FS,RB 10,RB 07,3,150,2013-11-05,SY,05:30 AM,basah,tadi malam,sedang,0,0,basah,mendung,,<1 jam,,,,,,
3A,3A-10,AB,RB 07,RB 06,1,50,2013-11-05,SY,05:30 AM,basah,tadi malam,sedang,0,0,basah,mendung,,<1 jam,,,,,,
3B,3B-01,AB,RB 06,RB 07,1,50,2013-11-28,SY,05:30 AM,basah,tadi malam,gerimis,0,0,basah,cerah,,<1 jam,,,,,,
3B,3B-02,FS,RB 07,RB 10,3,150,2013-11-28,SY,05:30 AM,basah,tadi malam,gerimis,0,0,basah,cerah,,<1 jam,,,,,,
3B,3B-03,FS,ST 00,ST 10,10,500,2013-11-28,SY,05:30 AM,basah,tadi malam,gerimis,1,0,basah,cerah,,<1 jam,,,,,,
3B,3B-04,AB,TR 05,SP 08,5,250,2013-11-28,SY,05:30 AM,basah,tadi malam,gerimis,0,0,basah,mendung,,<1 jam,,,,,,
3B,3B-05,AB,SP 08,GB 02,10,500,2013-11-28,SY,05:30 AM,basah,tadi malam,gerimis,1,1,basah,cerah,,<1 jam,,,,,,
3B,3B-06,FS,GB 02,GB 13,11,550,2013-11-28,SY,05:30 AM,basah,tadi malam,gerimis,0,0,basah,cerah,,<1 jam,,,,,,
3B,3B-07,FS,GB 13,DS 08,10,500,2013-11-28,SY,05:30 AM,basah,tadi malam,gerimis,1,0,basah,cerah,,<1 jam,,,,,,
3B,3B-08,AB,DS 08,DS 12,4,200,2013-11-28,SY,05:30 AM,basah,tadi malam,gerimis,0,0,basah,cerah,,<1 jam,,,,,,
3B,3B-09,AB,BM 16,BM 06,10,500,2013-11-28,SY,05:30 AM,basah,tadi malam,gerimis,3,0,basah,cerah,,<1 jam,,,,,,
3B,3B-10,FS,BM 06,BM 00,6,300,2013-11-28,SY,05:30 AM,basah,tadi malam,gerimis,1,0,basah,cerah,,<1 jam,,,,,,
4A,4A-01,AB,SK 00,SK 10,10,500,2013-11-10,MI,05:30 AM,basah,tadi malam,kwat,0,0,basah,mendung,,1-3 jam,,,,,,
4A,4A-02,AB,SK 10,ST 18,10,500,2013-11-10,MI,05:30 AM,basah,tadi malam,kwat,0,1,basah,mendung,,1-3 jam,,,,,,
4A,4A-03,AB,ST 18,TR 06,9,450,2013-11-10,MI,05:30 AM,basah,tadi malam,kwat,2,0,basah,cerah,,1-3 jam,,,,,,
4A,4A-04,FS,TR 06,SZ 15,10,500,2013-11-10,MI,05:30 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
4A,4A-05,FS,SZ 15,RS 22,10,500,2013-11-10,MI,05:30 AM,basah,tadi malam,kwat,3,0,basah,cerah,,1-3 jam,,,,,,
4A,4A-06,FS,RS 22,RS 32,10,500,2013-11-10,MI,05:30 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
4A,4A-07,FS,RS 32,RS 42,10,500,2013-11-10,MI,05:30 AM,basah,tadi malam,kwat,2,1,basah,cerah,,1-3 jam,,,,,,
4A,4A-08,FS,RS 42,RS 44,2,100,2013-11-10,MI,05:30 AM,basah,tadi malam,kwat,0,0,basah,cerah,,1-3 jam,,,,,,
4B,4B-01,FS,RS 44,RS 42,2,100,2013-11-21,MI,05:30 AM,basah,kemarin,sedang,0,0,basah,mendung,,1-3 jam,,,,,,
4B,4B-02,FS,RS 42,RS 32,10,500,2013-11-21,MI,05:30 AM,basah,kemarin,sedang,2,0,basah,mendung,,1-3 jam,,,,,,
4B,4B-03,FS,RS 32,RS 22,10,500,2013-11-21,MI,05:30 AM,basah,kemarin,sedang,2,1,basah,mendung,,1-3 jam,,,,,,
4B,4B-04,FS,RS 22,SZ 15,10,500,2013-11-21,MI,05:30 AM,basah,kemarin,sedang,0,0,basah,mendung,,1-3 jam,,,,,,
4B,4B-05,FS,SZ 15,TR 06,10,500,2013-11-21,MI,05:30 AM,basah,kemarin,sedang,1,0,basah,cerah,,1-3 jam,,,,,,
4B,4B-06,AB,TR 06,ST 18,9,450,2013-11-21,MI,05:30 AM,basah,kemarin,sedang,0,0,basah,cerah,,1-3 jam,,,,,,
4B,4B-07,AB,ST 18,SK 10,10,500,2013-11-21,MI,05:30 AM,basah,kemarin,sedang,1,2,basah,cerah,,1-3 jam,,,,,,
4B,4B-08,AB,SK 10,SK 00,10,500,2013-11-21,MI,05:30 AM,basah,kemarin,sedang,1,0,basah,cerah,,1-3 jam,,,,,,
5A,5A-01,LS,JB 00,JB 04,4,200,2013-11-06,MI,05:30 AM,lembab,tadi malam,gerimis,0,0,lembab,cerah,,1-3 jam,,,,,,
5A,5A-02,LG,JB 04,JB 11,7,350,2013-11-06,MI,05:30 AM,lembab,tadi malam,gerimis,0,0,lembab,cerah,,1-3 jam,,,,,,
5A,5A-03,LS,JB 11,JB 21,10,500,2013-11-06,MI,05:30 AM,lembab,tadi malam,gerimis,2,0,lembab,cerah,,1-3 jam,,,,,,
